Date,Open,High,Low,Close,Volume
2014-06-25,36.1237,36.223,36.0592,36.1962,7518788.6248317
2014-06-26,36.1237,36.1704,35.9223,36.0672,19764469.464618
2014-06-27,36.0672,36.1962,35.9223,36.1307,5800516.0897961
2014-06-30,36.0027,36.3183,36.0027,36.0999,14893217.314074
2014-07-01,36.1545,36.2845,36.0156,36.1783,6303365.9025636
2014-07-02,36.1962,36.352,36.1962,36.2776,3822945.9721763
2014-07-03,36.2994,36.5267,36.2518,36.4821,2847145.187046
2014-07-07,36.4036,36.5674,36.3659,36.5366,7186022.4702987
2014-07-08,36.4821,36.5763,36.4304,36.4632,5722302.1499302
2014-07-09,36.5118,36.6577,36.5039,36.625,6546078.8776568
2014-07-10,36.3967,36.6101,36.3659,36.5674,4784895.5220362
2014-07-11,36.5674,36.6577,36.4572,36.618,3832396.4076459
2014-07-14,36.7153,36.8017,36.6895,36.7471,5111718.3803181
2014-07-15,36.6984,36.6984,36.3897,36.4205,8876961.2831285
2014-07-16,36.5674,36.6101,36.3729,36.4304,5578374.4357497
2014-07-17,36.4404,36.4959,36.1783,36.2061,4901376.6729903
2014-07-18,36.2458,36.5942,36.2379,36.5674,7328851.9995472
2014-07-21,36.4304,36.4304,36.2776,36.3967,6285640.7947579
2014-07-22,36.352,36.4304,36.2607,36.3361,16568068.221405
2014-07-23,36.3967,36.4136,36.2518,36.2845,3456551.1785063
2014-07-24,36.352,36.4473,36.2994,36.3798,4263893.4175996
2014-07-25,36.352,36.3798,36.1545,36.2379,3062648.3635541
2014-07-28,36.2687,36.2687,36.0027,36.0513,37206254.625409
2014-07-29,36.093,36.1863,35.8786,35.8875,7810609.6090571
2014-07-30,35.9461,35.9937,35.5103,35.5103,27695785.717845
2014-07-31,35.2086,35.3079,34.8771,34.9029,13330023.604069
2014-08-01,34.8523,35.3228,34.8523,35.1709,14696465.897157
2014-08-04,35.2156,35.3476,35.0726,35.2801,6210391.9542083
2014-08-05,35.1788,35.3545,34.9793,35.1272,5650760.9429124
2014-08-06,34.7798,35.4518,34.7649,35.429,34476128.599182
2014-08-07,35.5183,35.5183,35.0568,35.1372,6838560.7878595
2014-08-08,35.1709,35.5262,35.1372,35.4915,6500856.8311691
2014-08-11,35.5898,35.9133,35.5898,35.7426,29336936.452892
2014-08-12,35.7257,35.7843,35.6324,35.7178,4887522.4151925
2014-08-13,35.8032,35.8875,35.684,35.824,3342620.0331144
2014-08-14,35.9461,35.9798,35.7843,35.9699,2714416.9441534
2014-08-15,36.1545,36.2458,35.824,36.0156,5614913.768711
2014-08-18,36.1079,36.2607,36.0672,36.2319,5472662.5496927
2014-08-19,36.2925,36.3659,36.1386,36.3262,3248182.1740196
2014-08-20,36.2379,36.3441,36.1962,36.2994,6897111.1723885
2014-08-21,36.3183,36.5267,36.3183,36.3659,2130917.0344874
2014-08-22,36.4036,36.4632,36.2776,36.2776,6398375.0193249
2014-08-25,36.4821,36.5267,36.4136,36.4821,2453808.5922147
2014-08-26,36.5039,36.5515,36.4304,36.4572,2215344.2830464
2014-08-27,36.49,36.49,36.3967,36.4721,2539415.6339437
2014-08-28,36.3729,36.4959,36.3441,36.49,3458023.1493188
2014-08-29,36.5118,36.5426,36.3967,36.5118,3802502.6047867
2014-09-02,36.4632,36.6895,36.4136,36.5267,14451709.693584
2014-09-03,36.618,36.6309,36.5118,36.5515,2955902.7731483
2014-09-04,36.6101,36.762,36.5595,36.6647,5413414.9688583
2014-09-05,36.6726,36.8761,36.5515,36.8761,6263009.1175773
2014-09-08,36.755,36.8285,36.5853,36.6022,5227979.8942858
2014-09-09,36.625,36.625,36.4632,36.5118,4267649.4115687
2014-09-10,36.5515,36.7322,36.4959,36.6895,5174554.7086091
2014-09-11,36.6101,36.7322,36.5763,36.7054,4851025.397614
2014-09-12,36.6488,36.6816,36.3729,36.4473,7142376.1680621
2014-09-15,36.5595,36.6577,36.5178,36.625,7545909.762615
2014-09-16,36.6101,36.9972,36.5366,36.8999,10368424.374402
2014-09-17,36.8602,36.9724,36.7471,36.8185,12948733.795689
2014-09-18,36.9237,36.9337,36.8017,36.893,7867124.82518
2014-09-19,37.0448,37.1173,36.9386,36.9853,6647250.9276555
2014-09-22,36.9644,37.02,36.8652,36.9208,8004086.6213608
2014-09-23,36.7987,36.8652,36.5972,36.5972,8248595.9852005
2014-09-24,36.6339,37.0825,36.5883,37.0696,18064550.723074
2014-09-25,36.9565,36.9644,36.5803,36.5803,14049532.206296
2014-09-26,36.758,36.7897,36.4503,36.7203,4833487.6865031
2014-09-29,36.4979,36.758,36.4751,36.7103,13825168.994658
2014-09-30,36.7282,36.8155,36.5972,36.7282,8749812.6256976
2014-10-01,36.6945,36.6945,36.4334,36.4979,22163990.443357
2014-10-02,36.5069,36.6538,36.3828,36.5624,20819376.842688
2014-10-03,36.7739,37.0121,36.6339,36.9942,11219156.000909
2014-10-06,37.0905,37.0905,36.7659,37.0121,8455597.7998224
2014-10-07,36.8245,37.0607,36.7897,36.7897,13902376.432921
2014-10-08,36.8493,37.3456,36.7987,37.3287,12037501.247013
2014-10-09,37.2959,37.5411,36.9565,36.9565,18519240.592784
2014-10-10,36.9853,37.5163,36.9853,37.1322,14006492.424545
2014-10-13,37.1173,37.1758,36.5972,36.621,24866298.135494
2014-10-14,36.7361,36.8066,36.5138,36.6051,15788201.763302
2014-10-15,36.2607,36.485,35.6453,36.1634,27164812.295728
2014-10-16,35.6821,36.085,35.561,35.8935,24066082.008349
2014-10-17,36.224,36.4334,35.8865,36.3381,15395682.258361
2014-10-20,36.2696,36.889,36.2379,36.8572,21162327.906833
2014-10-21,36.7441,37.0121,36.5972,37.0121,17028331.631522
2014-10-22,37.0359,37.3456,36.9704,37.0905,12807154.585248
2014-10-23,37.2394,37.3198,37.0031,37.0696,15482111.427525
2014-10-24,37.2007,37.4101,37.1411,37.3783,11306989.637775
2014-10-27,37.2791,37.6225,37.2394,37.4667,6039663.4901422
2014-10-28,37.6314,37.6314,37.4488,37.6136,6919430.5217444
2014-10-29,37.6136,37.6949,37.3287,37.55,7837803.2874964
2014-10-30,37.5897,37.8766,37.3545,37.7833,6166239.8823976
2014-10-31,38.0949,38.1346,37.9054,38.0265,10052604.523132
2014-11-03,37.9987,38.2002,37.9729,38.1743,18430107.269163
2014-11-04,38.1118,38.4364,38.0949,38.3778,12907041.05362
2014-11-05,38.5992,38.8036,38.4622,38.6508,9556488.9012679
2014-11-06,38.6875,38.8126,38.5495,38.7272,6924978.8744237
2014-11-07,38.6657,38.8652,38.5247,38.8652,7261295.491067
2014-11-10,38.8036,39.0458,38.7123,39.0369,5170481.3492696
2014-11-11,39.02,39.0786,38.883,38.9674,4026027.5688437
2014-11-12,38.8036,39.02,38.7937,38.9674,6047691.3227458
2014-11-13,38.9982,39.291,38.9674,39.1024,9220766.7150006
2014-11-14,39.1222,39.1371,38.7867,38.883,9266717.1905761
2014-11-17,38.8195,39.146,38.8195,39.146,4974057.3728136
2014-11-18,39.146,39.3545,39.0786,39.291,6160317.7438378
2014-11-19,39.2761,39.4915,39.2225,39.4547,6042490.5607102
2014-11-20,39.3307,39.3972,39.2225,39.285,5006399.4228147
2014-11-21,39.6086,39.681,39.3714,39.4468,6193144.4057217
2014-11-24,39.5173,39.6165,39.3545,39.423,6033333.3103922
2014-11-25,39.4776,39.55,39.3545,39.4547,7563125.07081
2014-11-26,39.4547,39.6384,39.4468,39.6304,4476791.1755443
2014-11-28,39.7555,40.2388,39.7307,40.1366,5700335.4287634
2014-12-01,39.957,40.0493,39.812,39.8766,10232053.98607
2014-12-02,39.8637,40.0493,39.8359,40.0135,7530487.8206391
2014-12-03,40.0235,40.0235,39.6384,39.7307,7258669.9223214
2014-12-04,39.7386,39.7843,39.5173,39.6989,9855533.7258256
2014-12-05,39.6721,39.7793,39.5262,39.7714,8268869.0835502
2014-12-08,39.7307,39.9004,39.5867,39.689,5715936.7073612
2014-12-09,39.3882,39.5788,39.1709,39.5599,7517077.8743597
2014-12-10,39.5599,39.6721,39.146,39.1838,6515792.1462439
2014-12-11,39.414,39.7386,39.1907,39.5093,6428387.7082593
2014-12-12,39.2602,39.6572,38.9982,39.0061,8367585.8338432
2014-12-15,39.1709,39.285,38.624,38.7441,11608787.984736
2014-12-16,38.7123,39.3793,38.5724,38.5992,12051204.378444
2014-12-17,38.7044,39.291,38.6736,39.1619,12438019.366794
2014-12-18,39.4309,39.9331,39.3307,39.9093,10718336.319002
2014-12-19,40.0503,40.1972,39.8448,39.8696,16041805.911895
2014-12-22,39.9758,40.2547,39.9669,40.2547,6250765.8668495
2014-12-23,40.4254,40.623,40.3202,40.5346,6784627.8175904
2014-12-24,40.6567,40.6964,40.4681,40.4929,1802433.8011891
2014-12-26,40.5346,40.6825,40.5187,40.5594,4027263.7825241
2014-12-29,40.5108,40.5505,40.2696,40.4334,16437266.335934
2014-12-30,40.3788,40.4681,40.2398,40.2547,6213201.8971214
2014-12-31,40.4036,40.4036,39.7465,39.7624,6364146.9122663
2015-01-02,39.8696,39.957,39.4031,39.6463,9282976.372624
2015-01-05,39.5758,39.6642,39.2632,39.3674,10088583.681027
2015-01-06,39.557,39.7465,39.2036,39.3197,13551537.579939
2015-01-07,39.6235,40.0423,39.5669,39.9937,11251134.34012
2015-01-08,40.2607,40.6488,40.2607,40.5962,15736347.284331
2015-01-09,40.6746,40.7302,40.2696,40.2696,7783819.9417717
2015-01-12,40.2547,40.4681,40.0423,40.1485,7629604.5520496
2015-01-13,40.4175,40.6408,39.9004,40.1386,12359540.452032
2015-01-14,39.8021,40.0592,39.7386,40.0145,16238188.580478
